Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
C21-steroid Hormone Metabolic Process (GO:0008207)	1/16	0.0221743989287616	0.10275940966987082	0	0	49.27654320987654	187.6853284304674	AKR1C3
Regulation of Amyloid Fibril Formation (GO:1905906)	1/16	0.0221743989287616	0.10275940966987082	0	0	49.27654320987654	187.6853284304674	PFDN4
Antifungal Innate Immune Response (GO:0061760)	1/16	0.0221743989287616	0.10275940966987082	0	0	49.27654320987654	187.6853284304674	CLEC4D
Late Endosome to Lysosome Transport (GO:1902774)	1/16	0.0221743989287616	0.10275940966987082	0	0	49.27654320987654	187.6853284304674	C9ORF72
Regulation of Ubiquitin Protein Ligase Activity (GO:1904666)	1/17	0.0235444454896736	0.10403359634972056	0	0	46.19444444444444	173.1767519855369	RPS7
Release of Cytochrome C From Mitochondria (GO:0001836)	1/17	0.0235444454896736	0.10403359634972056	0	0	46.19444444444444	173.1767519855369	BCL2A1
Mitochondrial Fusion (GO:0008053)	1/19	0.02627898816211653	0.11347744888186685	0	0	41.05761316872428	149.40806261137496	BCL2A1
Cellular Response to Fatty Acid (GO:0071398)	1/20	0.02764348904824574	0.11481599525129642	0	0	38.89473684210526	139.56851455439977	AKR1C3
Positive Regulation of Leukocyte Activation (GO:0002696)	1/21	0.029006146168748567	0.11481599525129642	0	0	36.94814814814815	130.8055903894323	CLEC4D
Regulation of Vacuole Organization (GO:0044088)	1/21	0.029006146168748567	0.11481599525129642	0	0	36.94814814814815	130.8055903894323	C9ORF72
Axon Extension (GO:0048675)	1/21	0.029006146168748567	0.11481599525129642	0	0	36.94814814814815	130.8055903894323	C9ORF72
Transcription by RNA Polymerase II (GO:0006366)	2/200	0.031718098235620266	0.11724919226432963	0	0	7.682206682206682	26.51027997028578	SUB1;POLR2K
Prostanoid Metabolic Process (GO:0006692)	1/23	0.031725938633605226	0.11724919226432963	0	0	33.58585858585859	115.89205816705555	AKR1C3
Regulation of Extracellular Matrix Organization (GO:1903053)	1/24	0.03308307875727454	0.11724919226432963	0	0	32.12399355877617	109.50212795754759	PRDM5
Cellular Response to Steroid Hormone Stimulus (GO:0071383)	1/24	0.03308307875727454	0.11724919226432963	0	0	32.12399355877617	109.50212795754759	AKR1C3
Regulation of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031664)	1/24	0.03308307875727454	0.11724919226432963	0	0	32.12399355877617	109.50212795754759	LY96
Icosanoid Biosynthetic Process (GO:0046456)	1/25	0.034438384647221466	0.11724919226432963	0	0	30.78395061728395	103.69830823466705	AKR1C3
Stress Granule Assembly (GO:0034063)	1/25	0.034438384647221466	0.11724919226432963	0	0	30.78395061728395	103.69830823466705	C9ORF72
Protein Acetylation (GO:0006473)	1/26	0.03579185869121641	0.11724919226432963	0	0	29.551111111111112	98.40622903757162	HAT1
Negative Regulation of Lipid Biosynthetic Process (GO:0051055)	1/26	0.03579185869121641	0.11724919226432963	0	0	29.551111111111112	98.40622903757162	AKR1C3
Diterpenoid Metabolic Process (GO:0016101)	1/26	0.03579185869121641	0.11724919226432963	0	0	29.551111111111112	98.40622903757162	AKR1C3
Negative Regulation of Proteolysis Involved in Protein Catabolic Process (GO:1903051)	1/27	0.037143503267645234	0.11961467153987447	0	0	28.413105413105413	93.56340148780022	RPS7
Toll-Like Receptor 4 Signaling Pathway (GO:0034142)	1/28	0.03849332073945392	0.11989722853272532	0	0	27.359396433470508	89.11695599563507	LY96
Positive Regulation of Signal Transduction by P53 Class Mediator (GO:1901798)	1/28	0.03849332073945392	0.11989722853272532	0	0	27.359396433470508	89.11695599563507	RPS7
Organelle Fusion (GO:0048284)	1/29	0.039841313496312473	0.12015634229046619	0	0	26.38095238095238	85.02187553087816	BCL2A1
Regulation of Supramolecular Fiber Organization (GO:1902903)	1/29	0.039841313496312473	0.12015634229046619	0	0	26.38095238095238	85.02187553087816	C9ORF72
Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895)	1/30	0.04118748390134586	0.12039418371162636	0	0	25.46998722860792	81.2396025067177	LY96
Prostaglandin Metabolic Process (GO:0006693)	1/30	0.04118748390134586	0.12039418371162636	0	0	25.46998722860792	81.2396025067177	AKR1C3
Cellular Response to Lipid (GO:0071396)	2/234	0.04220826640524996	0.12061266448652183	0	0	6.545092838196286	20.716129849226867	AKR1C3;LY96
Regulation of Transcription by RNA Polymerase I (GO:0006356)	1/31	0.04253183431893138	0.12061266448652183	0	0	24.619753086419752	77.73693045847051	POLR2K
Apoptotic Mitochondrial Changes (GO:0008637)	1/32	0.04387436712450461	0.12259014343611582	0	0	23.82437275985663	74.48511512541239	BCL2A1
Transcription by RNA Polymerase III (GO:0006383)	1/33	0.04521508467621202	0.12450530563014903	0	0	23.078703703703702	71.4591560763258	POLR2K
Toll-Like Receptor Signaling Pathway (GO:0002224)	1/35	0.04789108345945227	0.12999008367565618	0	0	21.718954248366014	66.00012158056954	LY96
Neuron Projection Extension (GO:1990138)	1/38	0.05189152613184633	0.13594315409352556	0	0	19.954954954954953	59.03872524246405	C9ORF72
Positive Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001244)	1/39	0.053221401637112926	0.13594315409352556	0	0	19.428849902534115	56.990542001630324	RPS7
Protein Metabolic Process (GO:0019538)	3/614	0.05343743295352491	0.13594315409352556	0	0	3.8024877250409164	11.138413543555693	RPS7;MRPL13;RSL24D1
Negative Regulation of Secretion by Cell (GO:1903531)	1/41	0.055875758601201204	0.13594315409352556	0	0	18.455555555555556	53.23735047365516	C9ORF72
Negative Regulation of DNA Metabolic Process (GO:0051053)	1/41	0.055875758601201204	0.13594315409352556	0	0	18.455555555555556	53.23735047365516	SUB1
Defense Response to Fungus (GO:0050832)	1/42	0.057200244751062834	0.13594315409352556	0	0	18.004516711833784	51.5144710341427	CLEC4D
Keratinocyte Differentiation (GO:0030216)	1/42	0.057200244751062834	0.13594315409352556	0	0	18.004516711833784	51.5144710341427	AKR1C3
Negative Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059)	1/43	0.05852293911887696	0.13594315409352556	0	0	17.57495590828924	49.88363848737288	RPS7
Negative Regulation of Protein Modification Process (GO:0031400)	1/44	0.059843844058514964	0.13594315409352556	0	0	17.165374677002585	48.33798189695846	C9ORF72
Positive Regulation of Response to Biotic Stimulus (GO:0002833)	1/44	0.059843844058514964	0.13594315409352556	0	0	17.165374677002585	48.33798189695846	LY96
Regulation of Autophagosome Assembly (GO:2000785)	1/44	0.059843844058514964	0.13594315409352556	0	0	17.165374677002585	48.33798189695846	C9ORF72
Bone Development (GO:0060348)	1/44	0.059843844058514964	0.13594315409352556	0	0	17.165374677002585	48.33798189695846	MRPL13
Endothelial Cell Migration (GO:0043542)	1/45	0.061162961873558554	0.13594315409352556	0	0	16.774410774410775	46.871284550836876	S100P
Cellular Response to Ketone (GO:1901655)	1/45	0.061162961873558554	0.13594315409352556	0	0	16.774410774410775	46.871284550836876	AKR1C3
Male Gonad Development (GO:0008584)	1/46	0.06248029490822359	0.13594315409352556	0	0	16.40082304526749	45.47790870164399	AKR1C3
Development of Primary Male Sexual Characteristics (GO:0046546)	1/46	0.06248029490822359	0.13594315409352556	0	0	16.40082304526749	45.47790870164399	AKR1C3
Chromosome Organization (GO:0051276)	1/47	0.06379584547542906	0.13594315409352556	0	0	16.043478260869566	44.15273043509633	HAT1
Ribosomal Large Subunit Biogenesis (GO:0042273)	1/47	0.06379584547542906	0.13594315409352556	0	0	16.043478260869566	44.15273043509633	RSL24D1
Cellular Defense Response (GO:0006968)	1/47	0.06379584547542906	0.13594315409352556	0	0	16.043478260869566	44.15273043509633	LY96
Regulation of Exocytosis (GO:0017157)	1/48	0.06510961590795171	0.13594315409352556	0	0	15.70133963750985	42.89108304980743	C9ORF72
Primary Alcohol Metabolic Process (GO:0034308)	1/48	0.06510961590795171	0.13594315409352556	0	0	15.70133963750985	42.89108304980743	AKR1C3
Negative Regulation of Phosphorylation (GO:0042326)	1/50	0.0677318256109869	0.13988094419660335	0	0	15.058956916099774	40.541710435272364	C9ORF72
Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058)	1/51	0.06904026952667622	0.13991623876822057	0	0	14.757037037037037	39.44652405205433	RPS7
Positive Regulation of Reactive Oxygen Species Metabolic Process (GO:2000379)	1/52	0.07034694254402857	0.13991623876822057	0	0	14.466957153231663	38.39987522113669	AKR1C3
Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage (GO:0008630)	1/52	0.07034694254402857	0.13991623876822057	0	0	14.466957153231663	38.39987522113669	BCL2A1
Positive Regulation of Apoptotic Process (GO:0043065)	2/313	0.07069452064078513	0.13991623876822057	0	0	4.862973039821914	12.883898577331852	BCL2A1;AKR1C3
Negative Regulation of Immune System Process (GO:0002683)	1/53	0.07165184698641218	0.1403489786331785	0	0	14.188034188034187	37.39875501073144	C9ORF72
Gonad Development (GO:0008406)	1/54	0.07295498516431843	0.14144333858388267	0	0	13.919636617749825	36.44039305811433	AKR1C3
Nucleosome Assembly (GO:0006334)	1/56	0.07555597189683592	0.14213499663761212	0	0	13.412121212121212	34.64192039516318	HAT1
Epidermal Cell Differentiation (GO:0009913)	1/56	0.07555597189683592	0.14213499663761212	0	0	13.412121212121212	34.64192039516318	AKR1C3
Cellular Response to Alcohol (GO:0097306)	1/56	0.07555597189683592	0.14213499663761212	0	0	13.412121212121212	34.64192039516318	AKR1C3
Negative Regulation of Response to Stimulus (GO:0048585)	1/57	0.07685382504627862	0.143159085870519	0	0	13.171957671957673	33.79726808456913	C9ORF72
Cellular Response to Calcium Ion (GO:0071277)	1/59	0.0794442623905929	0.14654766848750148	0	0	12.71647509578544	32.20701145480839	AKR1C3
Regulation of Reactive Oxygen Species Metabolic Process (GO:2000377)	1/61	0.08202768970411416	0.14985827926713163	0	0	12.291358024691357	30.736979461714654	AKR1C3
protein-DNA Complex Assembly (GO:0065004)	1/62	0.0833167803042863	0.15076369769347045	0	0	12.089253187613844	30.043067240513263	HAT1
Retinoid Metabolic Process (GO:0001523)	1/64	0.0858897268017167	0.153360940530287	0	0	11.704291593180482	28.730419843799346	AKR1C3
Pattern Recognition Receptor Signaling Pathway (GO:0002221)	1/65	0.08717358724879472	0.153360940530287	0	0	11.520833333333334	28.10915005286859	LY96
Negative Regulation of NF-kappaB Transcription Factor Activity (GO:0032088)	1/65	0.08717358724879472	0.153360940530287	0	0	11.520833333333334	28.10915005286859	COMMD6
Response to Molecule of Bacterial Origin (GO:0002237)	1/67	0.08973609386120772	0.1564207140699951	0	0	11.170594837261504	26.93098833106541	LY96
Extrinsic Apoptotic Signaling Pathway (GO:0097191)	1/68	0.09101474458249931	0.15720728609704426	0	0	11.003316749585407	26.372020695020453	BCL2A1
Skin Development (GO:0043588)	1/69	0.09229166323184414	0.15732479557056878	0	0	10.840958605664488	25.83185203747669	AKR1C3
Lysosomal Transport (GO:0007041)	1/70	0.09356685210249617	0.15732479557056878	0	0	10.683306494900698	25.309598161887177	C9ORF72
Negative Regulation of Immune Response (GO:0050777)	1/70	0.09356685210249617	0.15732479557056878	0	0	10.683306494900698	25.309598161887177	C9ORF72
Negative Regulation of Supramolecular Fiber Organization (GO:1902904)	1/76	0.10118178586647288	0.1686363097774548	0	0	9.82567901234568	22.509024314139115	PFDN4
Nucleosome Organization (GO:0034728)	1/77	0.10244492922242393	0.1692568395848743	0	0	9.695906432748538	22.091443130442507	HAT1
Positive Regulation of Macroautophagy (GO:0016239)	1/78	0.10370636075084565	0.16986386674707477	0	0	9.56950456950457	21.68633304983503	C9ORF72
Regulation of TOR Signaling (GO:0032006)	1/80	0.106224097275717	0.1725006707896259	0	0	9.326300984528833	20.91147208895769	C9ORF72
Regulation of Catabolic Process (GO:0009894)	1/81	0.10748040674068252	0.1730616718705905	0	0	9.209259259259259	20.540762024674148	C9ORF72
Positive Regulation of Tumor Necrosis Factor Production (GO:0032760)	1/82	0.10873501329274957	0.17361052542539848	0	0	9.095107453132144	20.180601202865116	LY96
Negative Regulation of Protein Phosphorylation (GO:0001933)	1/83	0.10998791917333363	0.17414753869111158	0	0	8.983739837398375	19.830570269385028	C9ORF72
Ribosomal Small Subunit Biogenesis (GO:0042274)	1/85	0.11248863777540374	0.17518722276497303	0	0	8.768959435626103	19.15932630382963	RPS7
Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	1/85	0.11248863777540374	0.17518722276497303	0	0	8.768959435626103	19.15932630382963	LY96
Regulation of Organelle Assembly (GO:1902115)	1/86	0.11373645491494558	0.17569045881170456	0	0	8.665359477124182	18.837376322734553	C9ORF72
Cellular Response to Hormone Stimulus (GO:0032870)	1/89	0.11746976428394924	0.17999399366088997	0	0	8.368686868686869	17.922164754149428	AKR1C3
Regulation of Immune Response (GO:0050776)	1/94	0.1236582718648177	0.18646882265329653	0	0	7.916766228594185	16.54788911057846	C9ORF72
Mitochondrial Translation (GO:0032543)	1/94	0.1236582718648177	0.18646882265329653	0	0	7.916766228594185	16.54788911057846	MRPL13
Response to Calcium Ion (GO:0051592)	1/95	0.12489094195153962	0.18684471630545296	0	0	7.832151300236407	16.29333703015039	AKR1C3
Regulation of TORC1 Signaling (GO:1903432)	1/97	0.1273512681712659	0.18903703869172284	0	0	7.66820987654321	15.802693838803137	C9ORF72
rRNA Metabolic Process (GO:0016072)	1/98	0.12857892868180207	0.1893798174383131	0	0	7.588774341351661	15.566187515435866	RPS7
Positive Regulation of Autophagy (GO:0010508)	1/99	0.12980492369995256	0.18971488848454604	0	0	7.510959939531368	15.335296224041254	C9ORF72
Mitochondrial Gene Expression (GO:0140053)	1/100	0.1310292553948657	0.1900424314887365	0	0	7.434717545828657	15.109834134055738	MRPL13
Negative Regulation of Translation (GO:0017148)	1/102	0.13347293752000114	0.1921201373393956	0	0	7.286762009534287	14.674493305715684	MRPL13
Regulation of Actin Cytoskeleton Organization (GO:0032956)	1/104	0.1359099924104689	0.19415713201495555	0	0	7.144552319309601	14.258829118460973	C9ORF72
Steroid Metabolic Process (GO:0008202)	1/106	0.1383404373758099	0.1947013563066954	0	0	7.007760141093474	13.861613711094853	AKR1C3
Regulation of Macroautophagy (GO:0016241)	1/106	0.1383404373758099	0.1947013563066954	0	0	7.007760141093474	13.861613711094853	C9ORF72
rRNA Processing (GO:0006364)	1/110	0.14318156655626552	0.20003307092419445	0	0	6.749235474006116	13.118095901226413	RPS7
Cellular Response to Metal Ion (GO:0071248)	1/112	0.14559228516031275	0.20191630788656514	0	0	6.6269602936269605	12.769788872193134	AKR1C3
Intrinsic Apoptotic Signaling Pathway (GO:0097193)	1/115	0.14919610379969206	0.20541492552131513	0	0	6.451591942820013	12.274113061647231	BCL2A1
Regulation of DNA Metabolic Process (GO:0051052)	1/116	0.1503941160680164	0.20557469102822384	0	0	6.395169082125604	12.115622182225511	SUB1
Negative Regulation of Catabolic Process (GO:0009895)	1/120	0.1551699189870583	0.21058774719672196	0	0	6.17896047307812	11.5128523954106	RPS7
Negative Regulation of DNA-binding Transcription Factor Activity (GO:0043433)	1/122	0.15754810244080794	0.21229886144506033	0	0	6.076216712580349	11.228997078866174	COMMD6
Cellular Response to Molecule of Bacterial Origin (GO:0071219)	1/123	0.15873477206576014	0.2123915964260171	0	0	6.026108075288403	11.091175868439628	LY96
Regulation of Mitotic Cell Cycle (GO:0007346)	1/124	0.15991982977917438	0.21248089271358836	0	0	5.976814212586571	10.955994454509144	CKS2
Cellular Response to Lipopolysaccharide (GO:0071222)	1/125	0.16110327770104044	0.21256682474442834	0	0	5.92831541218638	10.823382616266583	LY96
Regulation of Tumor Necrosis Factor Production (GO:0032680)	1/131	0.16817027705325713	0.22036105269047485	0	0	5.652991452991453	10.078030260645932	LY96
Mitochondrion Organization (GO:0007005)	1/135	0.1728496796068363	0.22494136387191027	0	0	5.483139856274184	9.624736148041512	BCL2A1
Regulation of Protein Phosphorylation (GO:0001932)	1/137	0.1751798518463186	0.22642293776054787	0	0	5.401960784313726	9.409902955799433	C9ORF72
Membraneless Organelle Assembly (GO:0140694)	1/139	0.17750369354780962	0.22787636333840425	0	0	5.32313472893183	9.202442949608892	C9ORF72
Positive Regulation of Metabolic Process (GO:0009893)	1/147	0.1867360855585943	0.23811984064518735	0	0	5.029426686960933	8.439674546562442	AKR1C3
Regulation of Cellular Component Organization (GO:0051128)	1/159	0.2003975541156832	0.252801167836838	0	0	4.644631973745898	7.466023488932469	PRDM5
Skeletal System Development (GO:0001501)	1/160	0.20152596685568627	0.252801167836838	0	0	4.615187514558584	7.392778298725765	MRPL13
Response to Lipopolysaccharide (GO:0032496)	1/161	0.2026528439231677	0.252801167836838	0	0	4.586111111111111	7.3206298145769075	LY96
+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897)	1/162	0.20377818736649117	0.252801167836838	0	0	4.557395905221992	7.24955536851995	AKR1C3
Positive Regulation of Response to External Stimulus (GO:0032103)	1/163	0.20490199919406868	0.252801167836838	0	0	4.529035208047554	7.179532894028598	LY96
Axonogenesis (GO:0007409)	1/200	0.2454244493195781	0.3002140360089649	0	0	3.680067001675042	5.169633447658624	C9ORF72
Regulation of Translation (GO:0006417)	1/201	0.2464915243020975	0.3002140360089649	0	0	3.6614814814814816	5.127639980813189	MRPL13
DNA-templated Transcription (GO:0006351)	1/203	0.24862131070771307	0.30087929321315593	0	0	3.6248624862486247	5.045171985047641	POLR2K
Protein Stabilization (GO:0050821)	1/212	0.2581337269097328	0.31041397539777993	0	0	3.468667719852554	4.69753867220848	RPS7
Regulation of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0051896)	1/219	0.26545188171362755	0.31720665110433477	0	0	3.3560992184845397	4.451267191325523	AKR1C3
Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	2/732	0.27348985054651526	0.32476919752398686	0	0	2.0276080084299264	2.628775062689341	PRDM5;TFEC
Regulation of Autophagy (GO:0010506)	1/230	0.27681139099610824	0.326671827883606	0	0	3.193110140708394	4.101291026139298	C9ORF72
Positive Regulation of Programmed Cell Death (GO:0043068)	1/248	0.2950351999442602	0.34602893820623115	0	0	2.957714799820063	3.6103659455894803	BCL2A1
Positive Regulation of Signal Transduction (GO:0009967)	1/256	0.30299177757787565	0.35318059963065257	0	0	2.863761801016703	3.419473663205248	LY96
Lipid Metabolic Process (GO:0006629)	1/259	0.305953110940431	0.3544578724309871	0	0	2.8300315819695663	3.351672684673107	AKR1C3
Central Nervous System Development (GO:0007417)	1/288	0.3339608315741971	0.3845609575702876	0	0	2.5403277842302234	2.786057662901377	COX7B
RNA Processing (GO:0006396)	1/291	0.33679517603893266	0.38548845450239283	0	0	2.5136653895274583	2.735572573586275	RPS7
Regulation of Intracellular Signal Transduction (GO:1902531)	1/302	0.34708859780034973	0.39489121905429014	0	0	2.4204503506829087	2.5612605497830456	AKR1C3
Regulation of DNA-templated Transcription (GO:0006355)	4/2139	0.35122887006191655	0.39722312685573896	0	0	1.3924277907884466	1.4569211703060336	SUB1;PRDM5;TFEC;POLR2K
Regulation of Cell Cycle (GO:0051726)	1/318	0.36178628866013524	0.40674198133387984	0	0	2.2964131323752777	2.3347669158362674	CKS2
Chromatin Organization (GO:0006325)	1/323	0.3663135184704403	0.4094092265257862	0	0	2.2601794340924775	2.2698206914880386	HAT1
Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	1/355	0.39456293474478477	0.43840326082753867	0	0	2.052521448001674	1.908796960772999	RPS7
Negative Regulation of Gene Expression (GO:0010629)	1/364	0.40228671398458776	0.4429081564239148	0	0	2.000714212835425	1.821830806658398	MRPL13
Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	2/983	0.40327953190177507	0.4429081564239148	0	0	1.4891398102407276	1.3523255814957398	PRDM5;TFEC
Negative Regulation of DNA-templated Transcription (GO:0045892)	2/1006	0.4147645876569812	0.45245042688141635	0	0	1.453263867606497	1.2789364063100386	PRDM5;TFEC
Negative Regulation of Programmed Cell Death (GO:0043069)	1/382	0.41745022108454943	0.45245042688141635	0	0	1.9044425002430252	1.6637018718627001	BCL2A1
Cellular Response to Oxygen-Containing Compound (GO:1901701)	1/384	0.4191119743743646	0.45245042688141635	0	0	1.8943042258969152	1.6473194474978086	LY96
DNA Damage Response (GO:0006974)	1/421	0.44904245070647736	0.48202296968491926	0	0	1.7241622574955908	1.3804295641091395	BCL2A1
Positive Regulation of Gene Expression (GO:0010628)	1/436	0.4607478815145109	0.48988120079904107	0	0	1.6634312473392934	1.2889999936302017	RPS7
Organelle Organization (GO:0006996)	1/437	0.461519657594886	0.48988120079904107	0	0	1.6595310907237513	1.2832002723468667	HAT1
Negative Regulation of RNA Biosynthetic Process (GO:1902679)	1/470	0.48639909620263255	0.5134212682138899	0	0	1.5401563610518834	1.1100304354058481	PRDM5
Negative Regulation of Apoptotic Process (GO:0043066)	1/475	0.49007064809302375	0.5144388018656051	0	0	1.523519299890608	1.086582676909866	BCL2A1
Nervous System Development (GO:0007399)	1/480	0.4937168842163616	0.5154187252808171	0	0	1.5072295677723653	1.0637921310159506	COX7B
Positive Regulation of Cell Population Proliferation (GO:0008284)	1/484	0.4966157587278212	0.5156119899359892	0	0	1.4944406103826393	1.0460167779624006	AKR1C3
Positive Regulation of DNA-templated Transcription (GO:0045893)	2/1274	0.5401549122178817	0.5577686593554213	0	0	1.1308659893565554	0.6964995781219478	PRDM5;TFEC
Positive Regulation of Cellular Process (GO:0048522)	1/622	0.5873822960042068	0.6032574931935096	0	0	1.1541122442893779	0.6140793507775523	AKR1C3
Positive Regulation of Intracellular Signal Transduction (GO:1902533)	1/652	0.6049115559643713	0.6179204066302717	0	0	1.099220572338852	0.552548524882769	AKR1C3
Regulation of Transcription by RNA Polymerase II (GO:0006357)	3/2250	0.6243550067185166	0.634371397200632	0	0	0.9465954606141522	0.4458806826659975	SUB1;PRDM5;TFEC
